Emprestimo_pessoal,Emprestimo_consignado,Emprestimo_limite_especial,Emprestimo_educacao,Emprestimo_viagem,InvestimentoCDB,InvestimentoFundos,InvestimentoFundos_cambiais,InvestimentoFundos_commodities,InvestimentoLCI,InvestimentoLCA,InvestimentoPoupanca,InvestimentoFundosMultimercado,InvestimentoTesouroDireto,Idade,Renda,Regiao,Genero,seguroauto,segurovidaEmp,segurovidaPF,SeguroResidencial,AGE_RANGE,INCOME_RANGE,tipo_financiamiento
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.249429593161383,-0.43249503616426577,4,1.0,1,1,1,1,0,3,3
0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1.251726177095157,-2.589043504760967,2,0.0,0,0,0,0,2,0,3
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.249429593161383,-0.43249503616426577,4,1.0,1,1,1,1,0,3,3
0,0,0,1,0,1,1,1,1,1,1,1,1,1,0.6228521789728719,-2.584657052389643,1,1.0,0,1,0,0,6,0,3
0,0,0,0,0,1,1,0,0,0,0,0,0,1,-0.8166029727975798,-2.579794898811138,2,0.0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.864831374527874,-2.578347279773656,4,1.0,0,0,0,0,7,0,2
0,0,0,0,1,1,0,0,0,0,0,0,0,1,2.0204003192226243,-2.567583097471033,4,1.0,0,0,0,1,5,0,3
0,0,0,0,1,0,1,0,0,0,0,0,0,0,-1.6165537491644657,-2.5570753578676992,0,0.0,0,1,0,0,3,0,3
0,0,0,0,0,0,0,0,0,1,0,1,0,1,-0.2140207023023716,-2.5561944771956444,4,1.0,0,1,0,0,4,0,1
0,0,0,0,0,1,1,1,0,0,0,0,1,0,1.379121655024836,-2.5530351031404135,3,1.0,0,0,0,0,2,0,3
0,0,0,0,0,1,1,1,1,1,1,1,1,1,1.9167311596744447,-2.5491564073136788,4,0.0,1,1,1,1,2,0,1
1,1,1,0,0,0,0,0,1,0,0,1,0,0,0.4139085509674522,-2.5432710473650153,2,1.0,1,1,1,1,3,0,0
0,0,0,0,0,1,0,1,0,0,1,0,1,0,-1.0388960117309636,-2.5404476132458518,2,0.0,0,1,0,0,4,0,3
0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.7326199698710183,-2.5310053930580594,4,1.0,0,0,0,1,8,0,3
0,0,0,1,0,0,0,1,1,0,1,0,0,0,1.3600269280012913,-2.5295090499077135,4,0.0,1,0,0,0,3,0,0
1,0,0,0,0,1,0,1,1,0,0,0,0,0,-1.3286965147874081,-2.5281268237585497,2,1.0,0,0,0,1,6,0,3
0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.3777468555423334,-2.516820265146932,4,0.0,0,1,0,0,0,0,3
0,0,0,1,1,1,1,1,1,1,0,0,0,1,1.390612287215995,-2.5059791500345234,4,1.0,0,0,0,0,3,0,3
0,1,0,0,1,0,0,0,0,0,0,1,1,1,-1.0836756812994521,-2.5054098472421042,4,1.0,0,0,0,0,7,0,3
0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.5029147763916033,-2.500223293649,4,1.0,0,1,0,0,3,0,3
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.3371301535615552,-2.496510003363307,4,0.0,0,1,0,0,4,0,3
0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.1272495312706022,-2.495162396978547,4,0.0,1,0,0,0,5,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1.091364266074419,-2.4811106192710497,2,1.0,0,0,0,0,7,0,1
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.43520001649813,-2.4802784627118593,4,1.0,0,0,0,0,4,0,3
1,0,0,0,0,0,1,0,0,0,1,0,0,0,-1.3478757317535346,-2.4716350615323504,4,1.0,0,0,0,0,8,0,3
0,0,0,0,0,1,1,1,1,1,1,1,0,0,-1.2596682316978702,-2.461296574110546,0,0.0,1,1,1,1,8,0,3
0,0,0,0,0,1,0,0,0,1,1,0,1,0,-0.628359380724764,-2.4585334040257156,4,0.0,0,0,0,1,3,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8678038780023046,-2.455439422858804,3,1.0,0,0,0,0,1,0,3
0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1.0967716223996704,-2.445751017679695,2,1.0,0,0,0,0,4,0,3
0,0,0,0,0,0,0,0,0,1,0,1,0,0,-1.4795955522389566,-2.4429288657740282,4,0.0,0,0,0,0,1,0,3
0,0,0,0,0,1,0,0,0,0,0,0,1,1,1.827932230020706,-2.4328211767815837,4,1.0,0,0,0,0,2,0,3
1,1,1,0,0,1,0,0,0,0,0,0,1,1,1.160123723852152,-2.4311081395503384,4,1.0,1,1,1,1,2,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.021644707960166,-2.4307824573222425,2,0.0,1,0,0,1,0,0,3
0,1,0,0,0,0,0,0,1,0,1,0,0,0,1.2653137023668093,-2.4268704239446013,2,1.0,0,0,0,0,8,0,3
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.09850759530864545,-2.4264934531766467,0,0.0,0,0,0,0,1,0,3
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.9072453257040651,-2.4178013278842734,3,1.0,1,1,1,1,5,0,3
1,1,1,1,1,1,1,0,1,0,0,0,0,1,2.3153547087765745,-2.4173640930819866,4,1.0,1,1,1,1,5,0,1
0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.27247238708509414,-2.4161677878898074,2,1.0,0,0,0,0,1,0,3
0,0,0,0,0,0,0,0,1,0,0,0,1,0,-1.460331845330248,-2.414686831301418,4,0.0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.5899240617670602,1.0700245365947847,0,0.0,1,1,1,1,5,5,3
0,0,0,0,0,0,0,1,1,0,0,0,1,0,-1.460331845330248,-2.414686831301418,4,0.0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,1,1,0,0,0,1,0,1.5899240617670602,1.0700245365947847,0,0.0,1,1,1,1,5,5,3
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.7197851035156768,-2.4131276596897453,2,1.0,0,0,0,1,7,0,3
0,0,0,0,0,1,1,1,1,1,1,1,1,0,1.4391940042006761,-2.4115364327406623,0,1.0,1,1,1,1,2,0,3
1,1,1,0,0,0,1,0,0,0,0,0,1,0,-1.1142610405141555,-2.4108248042501383,4,1.0,1,1,1,1,2,0,0
1,1,1,0,0,0,1,0,0,0,0,0,1,0,-0.7953959972094842,-1.589327285855818,4,1.0,0,0,0,0,0,1,0
1,1,1,0,0,0,1,0,0,0,1,0,1,0,-1.1142610405141555,-2.4108248042501383,4,1.0,1,1,1,1,2,0,0
1,1,1,0,0,0,1,0,0,0,1,0,1,0,-0.7953959972094842,-1.589327285855818,4,1.0,0,0,0,0,0,1,0
0,0,0,0,1,1,1,1,1,1,1,1,0,1,1.2055793129612973,-2.407321796977861,1,0.0,0,0,0,0,0,0,3
0,0,0,0,1,1,1,1,1,1,1,1,0,1,-1.699691852665207,1.028341058038983,4,0.0,1,1,1,1,7,5,3
0,0,0,0,1,1,1,0,1,0,0,0,0,1,1.2055793129612973,-2.407321796977861,1,0.0,0,0,0,0,0,0,3
0,0,0,0,1,1,1,0,1,0,0,0,0,1,-1.699691852665207,1.028341058038983,4,0.0,1,1,1,1,7,5,3
1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.7921853793913661,-2.4051971692142584,4,1.0,0,1,0,0,0,0,3
0,0,0,0,0,1,1,1,1,1,1,1,0,0,0.5600761516344057,-2.4034559232860913,4,0.0,1,1,1,1,5,0,3
1,0,1,0,0,1,0,0,0,0,0,1,0,0,-0.6918958175464685,-2.400210640926599,4,1.0,0,0,0,0,1,0,3
1,0,1,0,0,1,0,0,0,0,0,1,0,0,-0.5148048978944835,0.8987810775045947,4,0.0,0,0,0,0,5,5,3
1,0,1,0,0,1,0,1,0,0,1,0,0,0,-0.6918958175464685,-2.400210640926599,4,1.0,0,0,0,0,1,0,3
1,0,1,0,0,1,0,1,0,0,1,0,0,0,-0.5148048978944835,0.8987810775045947,4,0.0,0,0,0,0,5,5,3
0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1.4707241082678408,-2.394659938700506,0,1.0,0,0,0,0,5,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5392224913006969,-2.3930917915943586,0,0.0,1,0,0,0,8,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4307220495412814,-2.390481204915605,4,1.0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.6991925179268454,-2.388611737637793,4,0.0,0,0,0,0,3,0,3
1,1,1,1,1,1,1,0,0,0,0,1,0,0,-0.5505441436066921,-2.3758383267862477,3,0.0,1,1,1,1,6,0,3
1,0,0,0,0,1,1,1,1,1,1,1,0,0,-0.313465364721449,-2.3755216200526266,3,1.0,1,1,1,1,8,0,3
0,0,0,0,1,0,0,1,1,0,0,0,0,1,-1.1399459830591,-2.3744843093340053,4,0.0,0,0,0,0,4,0,3
0,0,0,1,0,0,0,0,1,0,0,1,0,0,-1.400428476039572,-2.3722378712882413,2,0.0,0,0,0,0,1,0,3
0,0,0,1,0,0,0,0,1,0,0,1,0,0,-1.1680811339389239,-0.7887529272964222,4,0.0,0,0,0,0,3,2,3
0,0,0,1,0,0,0,0,0,1,1,0,1,0,-1.400428476039572,-2.3722378712882413,2,0.0,0,0,0,0,1,0,3
0,0,0,1,0,0,0,0,0,1,1,0,1,0,-1.1680811339389239,-0.7887529272964222,4,0.0,0,0,0,0,3,2,3
0,0,0,0,0,1,1,1,1,1,1,1,0,0,0.7807638816587306,-2.3716518997203675,1,0.0,0,0,0,1,1,0,3
0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.0833377215291238,-2.3704337968987486,4,1.0,0,0,0,0,6,0,3
0,0,0,0,0,1,0,1,1,0,1,0,0,0,-1.185486062110827,-2.3627828289654844,2,1.0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.5551066005061233,-2.3586361505179947,4,1.0,0,0,0,0,4,0,1
0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.8526648227960584,-2.3547510436237786,4,0.0,0,0,0,0,6,0,1
1,1,1,0,0,0,0,0,0,1,0,0,0,1,-1.0884916080266291,-2.3511762323957006,4,0.0,1,1,1,1,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.5383851967920075,-2.350604365176288,0,1.0,0,0,0,1,0,0,3
0,0,0,0,1,1,1,1,1,1,1,1,0,0,0.37081868025060494,-2.337924555909982,2,1.0,0,0,0,0,6,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0716397935675525,-2.3353652577710857,0,0.0,0,0,0,0,3,0,3
0,1,0,0,0,0,1,0,1,0,0,0,0,1,-1.6127517017482735,-2.3320468892422967,4,1.0,0,0,0,0,1,0,1
0,0,0,0,1,1,1,0,0,1,0,1,1,0,0.02390297600869167,-2.3284874645761766,3,0.0,0,1,0,1,4,0,3
0,0,0,0,0,1,0,0,0,0,1,0,0,1,1.055271705107823,-2.320117174871409,3,1.0,0,0,0,0,0,0,3
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.5312804366979841,-2.316742388948777,3,0.0,1,0,0,0,0,0,3
0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0047237590425657176,-2.3146703319385282,4,1.0,0,0,0,0,2,0,3
0,0,0,0,0,1,0,1,0,0,0,1,1,0,-0.58459359046726,-2.314249765911695,3,0.0,0,0,0,0,1,0,3
0,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.9750216151389308,-2.3136317390064103,4,0.0,0,0,0,0,1,0,3
0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.10357699186356888,-2.312422611679266,1,1.0,0,0,1,0,0,0,1
1,0,0,0,0,1,1,1,1,1,1,1,1,0,-0.34810624118009137,-2.3035945717562707,3,0.0,0,0,0,0,7,0,3
0,0,0,0,0,1,1,0,0,0,0,0,0,0,-0.2980037052289331,-2.3018789700980316,0,0.0,0,0,1,0,6,0,3
0,0,0,0,0,0,1,0,0,0,0,1,1,0,-0.1906169882071426,-2.298632405525043,4,1.0,0,0,0,0,6,0,3
0,0,0,0,0,1,0,0,1,0,0,1,0,0,-0.6897835689819168,-2.298279796813522,4,0.0,1,0,0,0,6,0,1
0,0,0,0,0,1,0,0,1,0,0,1,0,0,-0.23700196668469012,0.37683940500281465,4,1.0,0,1,0,0,4,4,1
0,0,0,0,0,1,0,1,1,1,0,1,0,0,-0.6897835689819168,-2.298279796813522,4,0.0,1,0,0,0,6,0,1
0,0,0,0,0,1,0,1,1,1,0,1,0,0,-0.23700196668469012,0.37683940500281465,4,1.0,0,1,0,0,4,4,1
0,0,0,0,0,0,1,0,0,0,0,1,1,0,-0.871690415361079,-2.2959577081714677,0,0.0,0,0,0,1,3,0,3
0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.9903987846888644,-2.2957333208095902,4,0.0,0,0,0,1,5,0,3
0,0,0,0,1,1,1,0,0,1,0,0,0,0,1.2452050960322807,-2.2953640433226146,4,1.0,1,1,1,1,8,0,3
0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.7716543233439271,-2.2953576322551332,3,1.0,0,0,0,0,4,0,1
0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.7358997221476594,-2.285203783576816,4,0.0,0,0,0,1,0,0,3
0,0,0,0,0,1,1,1,1,1,1,1,1,0,1.1127248660636198,-2.283881821461985,3,0.0,1,1,1,1,7,0,3
0,0,0,0,1,1,0,1,1,0,0,0,0,1,-0.6772790574797729,-2.2685388547635723,4,1.0,0,1,0,0,7,0,3
1,1,1,0,0,0,0,1,1,0,1,1,1,0,-0.2075149767235536,-2.2669873764328785,4,1.0,1,1,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1.366041069408676,-2.2667860689139374,3,0.0,0,0,0,0,6,0,3
0,0,0,0,0,0,0,0,1,1,0,0,0,0,-0.6305561192318974,-1.4744371099342117,0,0.0,1,0,0,0,0,1,3
0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.366041069408676,-2.2667860689139374,3,0.0,0,0,0,0,6,0,3
0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.6305561192318974,-1.4744371099342117,0,0.0,1,0,0,0,0,1,3
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.8558984010153654,-2.2661513732331993,0,0.0,0,0,0,0,1,0,3
1,0,0,0,0,1,0,0,0,0,0,1,0,1,-1.7055216587033686,-2.2640549541665176,4,0.0,1,0,0,1,4,0,2
0,1,0,0,0,1,1,1,1,1,1,1,0,1,-0.7886368018029201,-2.2543524446389482,0,1.0,0,0,0,0,2,0,3
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0.9377461949761864,-2.252497081709598,4,1.0,0,0,1,0,0,0,3
1,1,1,1,1,1,1,0,0,0,0,1,0,0,0.24957561264535746,-2.2523714247869466,4,1.0,1,1,1,1,2,0,3
0,0,0,0,0,1,0,0,1,0,0,1,1,1,-1.1609839787620313,-2.251789299859563,0,1.0,1,1,1,1,4,0,1
0,0,0,1,0,1,0,0,0,0,0,0,1,1,-0.410121859035319,-2.250391687148442,2,1.0,0,1,0,0,8,0,3
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.6928328118320015,-2.24868121434419,4,1.0,0,0,1,1,2,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.8804004843641615,-2.2467207099081308,1,0.0,0,0,0,0,2,0,3
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.3367077038486448,-2.2398365056457394,4,0.0,0,0,0,0,0,0,1
0,0,0,0,0,1,1,1,1,1,1,1,1,0,-0.07004984014255178,-2.238694053420411,0,1.0,1,1,1,1,0,0,3
1,1,1,0,0,0,1,1,0,1,0,0,0,0,-0.6951909253071683,-2.2359501165380267,0,0.0,1,1,1,1,5,0,0
0,0,0,0,0,1,0,0,1,1,0,0,0,0,-0.6007311695004323,-2.2341088579571378,4,0.0,1,1,1,1,1,0,3
0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.7533891402621447,-2.2311225827239256,3,1.0,0,1,0,0,0,0,3
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.7641193629700658,-2.230696887843108,3,0.0,0,0,0,0,2,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7271972580617084,-2.2305878996959105,4,1.0,0,1,1,0,5,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.23953666496215184,-2.2204366154445863,4,0.0,0,1,0,0,1,0,3
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.055417724591798154,-2.2194788019627447,2,1.0,0,0,0,0,7,0,3
0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.6923874017179023,-2.2187402469887947,2,1.0,0,1,0,0,4,0,3
0,0,0,1,1,0,1,0,0,0,0,1,0,1,0.4755862090523519,-2.208801810177881,0,0.0,0,0,0,0,3,0,3
0,0,0,0,0,1,0,1,0,1,0,1,0,0,1.3819943130726258,-2.2064271507824724,3,0.0,0,0,0,1,0,0,1
0,0,0,1,1,1,1,1,1,1,0,1,0,0,2.6038878626942887,-2.206045051160532,4,1.0,0,1,0,0,3,0,1
0,0,0,0,0,1,0,1,1,1,1,1,1,1,0.3151398080890315,-2.2058591302035486,4,1.0,0,0,1,0,6,0,3
1,1,1,1,1,1,1,0,0,0,1,0,0,1,-0.019355874593319944,-2.2051372440050523,4,1.0,1,1,0,0,2,0,3
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7337029836405264,-2.203848619441129,4,1.0,0,0,0,0,3,0,3
0,0,1,0,0,0,0,1,0,0,0,1,0,0,-0.20244558016863018,-2.202275343480996,0,1.0,0,0,0,0,2,0,3
1,1,1,0,0,1,0,0,0,0,0,1,0,0,-0.08466660020924725,-2.20164705886774,4,0.0,1,1,1,1,1,0,1
0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.6067990898822813,-2.2009444058716894,4,0.0,0,0,0,1,3,0,3
1,1,1,0,0,1,1,1,0,1,1,0,0,0,-1.0445568378839611,-2.1984530650481053,4,1.0,1,1,1,1,2,0,0
0,0,0,0,1,1,0,0,1,0,0,0,0,1,-0.9814428507751669,-2.197393956700045,3,1.0,1,0,0,0,2,0,3
1,1,1,0,0,1,1,1,0,1,0,1,0,0,-0.7451244813731622,-2.197122127438799,0,1.0,1,1,1,1,3,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.147895642578944,-2.195076996911975,1,0.0,0,0,0,1,2,0,3
0,0,0,0,0,1,0,1,1,1,1,1,1,1,1.4175645788996705,-2.1936255312340043,4,1.0,0,0,0,0,1,0,3
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.3480063957534507,-2.19080594375533,4,0.0,1,1,1,1,1,0,2
1,1,1,0,0,0,1,0,1,0,1,0,0,0,-0.9702056884117538,-2.1836063149728138,4,0.0,1,1,1,1,6,0,3
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0289108430222225,-2.1823215370493805,0,1.0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.761246704922276,-2.1815624666594866,3,1.0,0,0,0,0,5,0,2
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2594609359274581,-2.1802020381397633,3,0.0,0,0,0,0,6,0,1
0,0,0,1,1,1,1,1,1,1,0,1,0,0,0.28801853652019244,-2.1796788950332147,4,1.0,0,0,0,0,0,0,1
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.6134737953462636,-2.1733691224172293,4,0.0,0,1,0,0,0,0,3
0,0,0,0,0,1,0,1,0,0,0,0,0,0,1.0774925600069039,-2.1695083775794446,3,0.0,0,0,0,0,2,0,3
0,1,0,0,0,0,1,0,0,0,0,1,0,0,-1.519981744793178,-2.1691762842838664,3,1.0,0,0,0,0,3,0,1
0,0,0,1,0,1,0,0,0,0,0,1,1,0,1.1149216045707535,-2.167000367980406,0,0.0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.7368291115160623,-2.16698113477796,4,1.0,0,1,0,1,8,0,3
0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.5536702714822284,-2.1668247047313938,3,1.0,0,0,0,0,0,0,3
0,0,0,0,1,0,0,1,0,0,0,1,1,0,-0.4658007311968924,-2.1635448026074977,4,1.0,0,1,0,0,1,0,3
0,0,0,0,0,1,0,0,0,0,0,1,0,1,1.7211369425969896,-2.162536982799295,4,1.0,0,0,0,0,5,0,3
0,0,1,1,1,1,1,1,1,1,1,0,1,1,0.7696956991804815,-2.1618843361296065,3,0.0,0,0,0,0,4,0,3
0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.9789081524977052,-2.158482623723548,0,0.0,1,1,1,1,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,1,1,-1.2127763135648304,-2.1577684308060308,3,1.0,1,0,0,0,2,0,1
1,1,1,1,1,1,1,0,0,1,1,0,1,0,-1.0797891439406777,-2.155369409354189,4,1.0,0,1,0,0,7,0,3
1,1,1,1,0,0,0,0,0,0,0,1,0,0,-1.4308448553691113,-2.1548167753372236,4,0.0,1,1,1,1,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4660618059417692,-2.1539615389350972,0,1.0,0,0,0,0,6,0,3
0,0,0,0,0,1,0,1,1,0,1,0,1,0,-0.2513652569236394,-2.151956157026663,4,1.0,0,0,0,0,3,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5494304188690672,-2.1489750106474377,4,0.0,1,0,0,0,1,0,1
0,0,0,0,0,1,0,1,0,0,0,0,0,1,1.3608718274271123,-2.146340061912252,3,0.0,1,1,1,1,2,0,1
0,0,0,1,1,1,1,1,1,1,1,1,0,0,-0.713609732790056,-2.139998233958854,0,1.0,0,0,0,0,5,0,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.3607797325673993,-2.138937843397298,4,1.0,0,0,0,0,5,0,3
0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.6569016258334395,-2.134201346741444,0,1.0,1,1,1,1,5,0,3
1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.5984499410507167,-2.1326601261187217,4,0.0,0,0,0,0,3,0,3
1,1,1,1,0,0,0,1,0,0,0,0,0,0,-1.4037235838002722,-2.1321292897311954,0,1.0,1,1,1,1,3,0,0
0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.086448493920601,-2.129354579724897,2,1.0,0,0,1,1,0,7,1
0,0,0,0,0,1,0,0,0,0,1,1,0,0,-1.0078037128607678,-2.1290314619237938,3,0.0,1,1,1,1,5,0,3
1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.20733064135433055,-2.127813359102175,1,1.0,1,1,1,1,4,0,1
0,0,0,0,0,1,1,1,1,1,1,1,0,0,-1.1702778724460572,-2.1257169400354936,4,1.0,1,1,1,1,6,0,3
0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.0786907746871108,-2.1257092467545156,2,1.0,0,0,0,0,8,0,3
1,1,1,0,0,0,1,0,1,0,0,0,0,0,0.9948613961616549,-2.125138661748599,3,0.0,0,0,1,1,4,0,0
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0.18232161835004265,-2.1225357683508235,2,1.0,0,0,0,0,3,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9239051998767882,-2.122315227629436,3,0.0,0,0,0,0,5,0,3
0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.01156744439171234,-2.1212266283709575,1,0.0,0,0,0,0,3,0,3
0,0,0,0,1,0,0,1,1,1,1,1,1,1,-1.3791370105088945,-2.116061872407293,4,1.0,0,0,0,0,3,0,1
0,0,0,0,0,1,1,0,0,0,0,0,1,0,-0.33179968226175455,-2.1145411672005143,4,1.0,0,0,1,1,5,0,3
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.4741498800284567,-2.113748759259713,0,1.0,0,0,0,0,1,0,3
0,0,0,0,0,1,1,1,1,1,1,1,0,0,-0.6372308246958794,-2.113482058852454,2,0.0,0,1,0,0,1,0,3
